userId,venueCategory,1
470,Arts & Crafts Store,27
979,Bridge,66
69,Home (private),116
395,Medical Center,2
87,Food Truck,2
484,Food & Drink Shop,16
642,Coffee Shop,57
292,Bus Station,3
428,Home (private),29
877,Bank,3
87,Gastropub,1
625,Electronics Store,3
691,Medical Center,13
116,Mobile Phone Shop,1
931,Café,12
53,Automotive Shop,57
445,Food & Drink Shop,35
135,Restaurant,1
895,Coffee Shop,21
704,American Restaurant,13
891,Government Building,69
284,Coffee Shop,9
901,Airport,108
803,Ferry,164
699,Office,93
100,Other Great Outdoors,45
642,Building,55
443,Office,134
689,Food & Drink Shop,38
390,Office,94
32,Mexican Restaurant,6
230,Music Venue,65
445,Subway,137
834,Student Center,9
962,Park,7
1032,Road,1
525,Home (private),95
962,Burger Joint,1
318,Subway,7
1047,Bank,10
738,Office,5
364,Sporting Goods Shop,2
398,Pizza Place,9
839,Jewelry Store,1
424,Sandwich Place,4
751,Coffee Shop,3
1047,Clothing Store,33
889,Neighborhood,45
612,Electronics Store,10
643,Medical Center,12
1032,Medical Center,17
718,Bus Station,83
768,Ice Cream Shop,14
15,Soup Place,7
768,Home (private),78
458,College Academic Building,32
280,Food & Drink Shop,19
839,Department Store,9
1016,Playground,4
281,Tattoo Parlor,66
366,Mall,5
276,Deli / Bodega,33
135,Office,3
227,College Academic Building,9
612,Coffee Shop,7
458,University,4
80,Diner,6
445,Bus Station,51
673,Government Building,5
318,University,5
337,Music Store,1
916,Light Rail,115
639,Salon / Barbershop,4
752,Student Center,22
713,Mexican Restaurant,12
449,General College & University,10
1016,Home (private),143
803,Office,21
895,Other Great Outdoors,29
1012,Neighborhood,27
749,Animal Shelter,21
438,Office,95
217,Office,64
656,College Academic Building,3
225,Ice Cream Shop,15
628,Food & Drink Shop,43
225,Sandwich Place,9
504,American Restaurant,22
226,American Restaurant,26
164,Office,24
235,Coffee Shop,3
118,Laundry Service,1
1054,Residential Building (Apartment / Condo),76
881,Building,1
713,Coffee Shop,64
706,Food & Drink Shop,98
706,Drugstore / Pharmacy,16
673,Automotive Shop,14
143,Airport,9
1005,Cuban Restaurant,2
706,BBQ Joint,18
912,Other Nightlife,17
537,Office,41
406,Mexican Restaurant,2
868,Sandwich Place,3
1055,Neighborhood,34
751,Mexican Restaurant,3
907,Home (private),33
303,Coffee Shop,29
445,Home (private),33
793,Building,27
784,Gym / Fitness Center,81
793,College Academic Building,39
734,Home (private),205
540,Home (private),177
816,Drugstore / Pharmacy,19
623,Office,42
950,Other Great Outdoors,6
294,Coffee Shop,19
950,Italian Restaurant,2
1055,Food & Drink Shop,17
615,Park,49
385,Gym / Fitness Center,1
615,Other Great Outdoors,11
950,Stadium,1
950,Office,6
173,Home (private),54
292,Church,19
801,Other Great Outdoors,1
16,Airport,2
69,Salon / Barbershop,5
467,Train Station,13
7,Food & Drink Shop,16
592,Food & Drink Shop,7
669,Department Store,4
574,College Academic Building,19
436,Tanning Salon,23
636,Hotel,2
865,University,18
225,Miscellaneous Shop,6
621,Student Center,21
272,Bar,22
1063,Miscellaneous Shop,2
591,Coffee Shop,25
976,Other Great Outdoors,25
562,Other Great Outdoors,16
783,Gym / Fitness Center,34
319,Medical Center,22
468,Tattoo Parlor,1
874,Road,3
107,University,8
281,Spanish Restaurant,19
667,Moving Target,32
557,Asian Restaurant,4
725,Office,8
774,Factory,22
976,Bus Station,142
880,School,26
288,Train Station,81
335,Train Station,52
335,Other Great Outdoors,15
769,Residential Building (Apartment / Condo),45
562,Subway,16
1063,Home (private),4
194,Airport,3
100,General Travel,1
403,Hotel,1
573,Food & Drink Shop,51
445,Drugstore / Pharmacy,17
834,Gym / Fitness Center,38
346,Asian Restaurant,9
1012,Home (private),38
968,Medical Center,2
539,Residential Building (Apartment / Condo),71
976,Subway,108
184,Deli / Bodega,34
144,Home (private),56
865,Diner,5
562,Neighborhood,39
734,Electronics Store,5
71,Hotel,47
688,Gym / Fitness Center,157
65,Burrito Place,71
885,Coffee Shop,122
885,Office,115
592,Subway,1
267,Neighborhood,91
267,Mall,14
880,Fast Food Restaurant,45
592,Coffee Shop,5
267,Food & Drink Shop,17
615,Dumpling Restaurant,2
877,Home (private),54
820,Cupcake Shop,6
820,Wings Joint,1
445,Bar,6
516,Bar,41
281,Park,7
176,Office,38
528,Caribbean Restaurant,1
592,Ferry,34
30,Office,5
1063,Office,1
246,Salon / Barbershop,2
669,Ice Cream Shop,3
246,Hardware Store,5
515,Performing Arts Venue,24
458,Park,53
615,Ice Cream Shop,4
710,Gym / Fitness Center,48
768,Bus Station,14
145,Medical Center,8
498,Pizza Place,6
894,Road,1
557,Park,2
1063,Convenience Store,4
528,Fast Food Restaurant,6
313,French Restaurant,2
120,Subway,143
976,Home (private),72
798,Train Station,11
798,Bar,26
598,Coffee Shop,7
1078,Home (private),75
195,University,3
623,Coffee Shop,17
59,General Travel,2
662,Asian Restaurant,58
425,Bookstore,65
691,Food & Drink Shop,20
756,Office,25
100,Bike Shop,1
667,Home (private),66
107,Food & Drink Shop,7
615,Campground,20
318,Clothing Store,3
107,Coffee Shop,4
669,Cupcake Shop,38
553,Gas Station / Garage,23
498,Park,4
768,Road,190
702,College Academic Building,61
768,Parking,31
702,Mexican Restaurant,11
768,Mall,46
620,Electronics Store,1
217,Train Station,23
84,Salad Place,4
129,Office,57
173,Automotive Shop,4
768,Art Gallery,3
768,Sporting Goods Shop,6
557,Gym / Fitness Center,117
318,Video Game Store,1
256,Office,26
752,College Academic Building,94
118,Gym / Fitness Center,33
864,Residential Building (Apartment / Condo),40
768,Toy / Game Store,19
1055,Residential Building (Apartment / Condo),8
658,Bus Station,6
951,Subway,217
809,Park,2
817,Park,3
371,Road,54
121,Subway,25
592,Bus Station,40
204,College Academic Building,8
121,Office,41
718,Subway,56
121,Event Space,5
121,Food & Drink Shop,8
420,Mall,4
318,Coffee Shop,2
49,General Travel,91
50,Subway,24
225,Food Truck,1
29,Airport,2
50,Other Great Outdoors,6
519,Park,51
340,Vegetarian / Vegan Restaurant,2
1010,Drugstore / Pharmacy,3
117,University,8
1034,Sushi Restaurant,1
117,College Academic Building,5
528,Playground,6
391,Event Space,2
217,Bus Station,29
528,Food Truck,5
526,Residential Building (Apartment / Condo),9
645,Food & Drink Shop,21
258,Tanning Salon,11
645,Coffee Shop,24
458,Subway,137
758,Salon / Barbershop,8
653,Clothing Store,2
611,Laundry Service,16
47,Convention Center,2
192,Burger Joint,4
455,Bus Station,14
574,Clothing Store,5
577,Airport,3
984,Gym / Fitness Center,99
1025,Residential Building (Apartment / Condo),41
354,Subway,945
373,Gym / Fitness Center,16
902,Gym / Fitness Center,188
571,Bridge,83
84,Bar,171
440,Subway,136
120,Chinese Restaurant,3
987,Bar,7
185,Bar,274
987,BBQ Joint,2
559,Toy / Game Store,8
639,Gym / Fitness Center,15
816,Home (private),117
874,Latin American Restaurant,4
786,General College & University,56
279,Gym / Fitness Center,5
264,Playground,5
987,Spa / Massage,1
1025,Neighborhood,28
354,Paper / Office Supplies Store,1
184,Residential Building (Apartment / Condo),25
529,Government Building,115
987,Candy Store,2
354,Neighborhood,44
354,Government Building,11
131,Park,2
101,Neighborhood,5
207,Residential Building (Apartment / Condo),35
78,Camera Store,1
943,Office,134
59,Park,10
179,Breakfast Spot,3
469,College Academic Building,8
4,Southern / Soul Food Restaurant,2
444,Residential Building (Apartment / Condo),60
586,Bar,32
592,Home (private),28
