userId,venueCategory,1
1541,Cosmetics Shop,10
868,Ramen /  Noodle House,8
114,Convenience Store,2
868,Food & Drink Shop,6
1458,Housing Development,3
1541,Furniture / Home Store,10
1541,Convenience Store,33
114,Train Station,124
1635,Other Great Outdoors,128
2033,Ramen /  Noodle House,10
589,Airport,24
589,Bus Station,16
2290,Convenience Store,62
471,Ramen /  Noodle House,21
589,Bridge,144
2290,Train Station,100
886,Convenience Store,66
265,Train Station,84
159,Train Station,161
589,Train Station,92
589,Other Great Outdoors,6
1390,Bus Station,17
214,Road,64
1240,Convenience Store,81
1842,Train Station,30
96,Train Station,290
1876,Subway,199
2290,Park,25
499,Subway,7
1206,Convenience Store,97
904,Post Office,23
904,Convenience Store,45
1143,Train Station,410
499,Light Rail,2
1555,Shrine,94
252,Train Station,165
1895,Park,104
941,Train Station,68
1390,Train Station,421
1056,Train Station,51
1233,Light Rail,242
1222,Train Station,47
1906,Train Station,269
1552,Bus Station,330
1386,Fast Food Restaurant,27
1317,Convenience Store,59
1317,University,44
2085,Subway,102
1064,Train Station,481
1349,Shrine,67
1056,Government Building,146
1982,Train Station,195
1349,Train Station,146
2060,Train Station,58
2243,Restaurant,6
847,Train Station,129
1143,Subway,396
1029,Food & Drink Shop,23
1967,Train Station,234
13,Road,126
1964,Train Station,239
1967,Bridge,114
499,Airport,3
9,Café,33
214,Gym / Fitness Center,50
1965,Subway,187
64,Train Station,50
1029,Government Building,34
1029,Train Station,425
6,Train Station,101
1965,Park,71
116,Candy Store,2
1618,Train Station,110
1324,Food & Drink Shop,16
1324,Mall,12
1967,Road,164
1979,Train Station,273
1965,Food & Drink Shop,71
610,Train Station,346
2015,Subway,26
349,Subway,10
2287,Train Station,123
1726,Home (private),22
1928,Mall,17
1726,Other Nightlife,21
1726,Food & Drink Shop,37
336,Train Station,405
1379,Train Station,26
775,Train Station,60
941,Subway,8
972,Train Station,221
1064,Coffee Shop,22
931,Subway,71
1746,Train Station,531
116,Train Station,332
1390,Convenience Store,63
187,Train Station,354
722,Train Station,103
1390,Office,54
1928,Train Station,238
1928,Bridge,2
2023,Shrine,59
1808,Train Station,135
1967,Mall,45
1143,Convenience Store,200
1552,Subway,93
135,Road,153
96,Subway,37
1248,Japanese Restaurant,37
1540,Coffee Shop,94
23,Train Station,87
1143,Office,167
135,Train Station,663
1907,Train Station,29
680,Train Station,159
1621,Subway,46
1967,Other Great Outdoors,191
1964,Fast Food Restaurant,22
1088,Home (private),99
1088,Bridge,139
1790,Train Station,244
1701,Train Station,501
96,Fried Chicken Joint,2
1967,Park,72
1100,Fast Food Restaurant,1
1961,Train Station,79
1726,Park,24
1320,Japanese Restaurant,2
1726,Other Great Outdoors,23
1349,Subway,47
953,Subway,41
1726,Train Station,54
1790,Road,155
113,Train Station,606
2027,Train Station,39
2054,Park,56
863,Train Station,50
1967,Food & Drink Shop,2
476,Subway,16
1924,Train Station,95
1844,Café,99
41,Convenience Store,66
2022,Train Station,149
3,Park,65
2278,Train Station,251
2011,Train Station,133
1552,Café,25
627,Train Station,415
925,Bar,184
1132,Train Station,129
390,Train Station,202
1463,Train Station,167
1714,Train Station,573
1384,Train Station,37
917,Train Station,380
41,Train Station,169
1928,Subway,149
423,Subway,301
1341,Subway,301
207,Government Building,488
1497,Train Station,205
819,Train Station,101
1638,Toy / Game Store,31
1638,Building,34
1437,Shrine,42
168,Train Station,154
1336,Train Station,400
1638,Bridge,51
207,Scenic Lookout,86
563,Government Building,15
2059,Mall,76
207,Convenience Store,118
1690,Train Station,86
557,Train Station,1284
1241,Subway,24
2000,Flower Shop,45
1967,Convenience Store,52
423,Café,52
135,Subway,68
3,Train Station,26
207,Train Station,284
41,Food & Drink Shop,63
841,Fast Food Restaurant,22
29,Ramen /  Noodle House,44
1327,Subway,288
1151,Subway,113
920,Coffee Shop,44
917,Subway,172
2121,Train Station,163
1932,Convenience Store,16
615,Other Great Outdoors,53
701,Bridge,31
931,Convenience Store,15
41,Bridge,39
1151,Convenience Store,3
1474,Subway,53
893,Train Station,288
1611,Convenience Store,27
1084,Subway,140
763,Train Station,95
271,Subway,24
1663,Train Station,186
988,Subway,85
41,Other Great Outdoors,25
1676,Train Station,726
1327,Train Station,199
1552,Miscellaneous Shop,30
833,Train Station,218
1726,Convenience Store,11
1088,Train Station,338
1726,Video Store,9
1379,Office,45
9,Train Station,127
300,Japanese Restaurant,78
1088,Building,47
1871,Train Station,254
1205,Convenience Store,24
2015,Train Station,39
21,Train Station,412
935,Building,4
644,Train Station,441
1216,Subway,36
1381,Subway,117
921,Train Station,119
365,Train Station,479
1640,Subway,44
525,Café,30
1412,Subway,121
1616,Train Station,143
422,Subway,180
2199,Train Station,305
1466,Train Station,51
1887,Café,58
992,Subway,163
1087,Subway,140
1481,College Academic Building,77
81,Train Station,96
1481,University,14
1938,Convenience Store,26
733,Train Station,186
1527,Train Station,475
430,Other Great Outdoors,3
330,Train Station,102
168,Subway,283
1937,Bus Station,33
422,Miscellaneous Shop,38
615,Subway,94
161,Train Station,279
336,Light Rail,84
285,Train Station,509
425,Train Station,117
831,Train Station,269
822,Train Station,1049
1830,Subway,114
1884,Train Station,73
666,Train Station,258
917,Office,67
530,Train Station,48
677,Train Station,157
425,Subway,161
342,Train Station,326
2250,Subway,11
1481,Student Center,9
1182,Internet Cafe,9
1474,Train Station,63
1182,Food & Drink Shop,3
1917,Bridge,7
271,Fast Food Restaurant,11
733,Subway,113
1557,Train Station,475
2103,Train Station,261
1509,Train Station,299
1132,Subway,79
2073,Bridge,223
1029,Coffee Shop,9
1519,Train Station,153
1224,Train Station,84
656,Train Station,24
557,Office,179
